address,lat,long
"Lot 602 Forrest Highway, WEST PINJARRA , Western Australia",-32.6305394,115.8678565
"Lot 192 Leary Road, BALDIVIS , Western Australia",-32.3092896,115.8329076
"Lot 1662 Shenton Street, WEST END , Western Australia",-28.7829282,114.5988112
"248 Celebration Road, YILKARI , Western Australia",-31.6932805,115.7342511
"Cnr Stockman Road & Bull Run Road, KUNUNURRA , Western Australia",-15.7967626,128.7647668
"Cnr Pinga Street & Anthill Street, WEDGEFIELD , Western Australia",-20.3749531,118.5942639
"12 Bridgetown Road, BALINGUP , Western Australia",-33.7841696,115.9840987
"Cnr Rockingham Road & Lee Road, NAVAL BASE , Western Australia",-32.2055283,115.7835913
"4267 South Western Highway (Cnr Del Park Road), NORTH DANDALUP , Western Australia",-32.52230539,115.9700435
"2 Cunningham Road (Cnr Great Eastern Highway), WEST KALGOORLIE , Western Australia",-30.7809705,121.4338361
"Cnr Mandurah Road & Wellard Road, KWINANA BEACH , Western Australia",-32.2490874,115.7823272
"76 Malaga Drive (Cnr Truganina Road), MALAGA , Western Australia",-31.8630882,115.8936516
"131 Welsh Drive (Cnr Pardoo Drive), NEWMAN , Western Australia",-23.3691172,119.7289315
"1 Princep Street, NORSEMAN , Western Australia",-32.1893604,121.7782853
"Cnr North Mole Drive & Rous Head Road, NORTH FREMANTLE , Western Australia",-32.0367396,115.7538049
"159 Altone Road (Cnr Hull Way), BEECHBORO , Western Australia",-31.8711816,115.9451327
"918 Canning Highway (Cnr Kintail Road), APPLECROSS , Western Australia",-32.0114005,115.8511681
"11 Headingly Cr (Cnr Connolly Drive), BUTLER , Western Australia",-31.6541846,115.7125152
"Lot 22 South Western Highway (Cnr Nettleton Road), BYFORD , Western Australia",-32.2263868,116.0081686
"510 Beach Road (Cnr Duffy Road), CARINE , Western Australia",-31.8463862,115.7954801
"595 Robinson Street, KINGSFORD , Western Australia",-24.8622352,113.7009577
"7 Ocean Keys Bvd (Cnr Marmion Ave), CLARKSON , Western Australia",-31.689189,115.7154285
"191 Bailey Bvd (Cnr Dawesville Bypa), DAWESVILLE , Western Australia",-32.6306753,115.6323731
"112 Oakleigh Drive (Cnr Old Coast Road), ERSKINE , Western Australia",-32.5602838,115.6893403
"63 Alex Wood Drive (Cnr Armadale Road), FORRESTDALE , Western Australia",-32.1458861,115.9642641
"2 Jon Sanders Drive (Cnr Harborne Street), GLENDALOUGH , Western Australia",-31.9223465,115.8196212
"35 Minilya Pkwy (Cnr Lakes Road), GREENFIELDS , Western Australia",-32.5299627,115.7648592
"967 Abernethy Road (Cnr Grogan Road), HIGH WYCOMBE , Western Australia",-31.9512844,115.9875936
"342 Beaufort Street (Cnr Bulwer Street), PERTH , Western Australia",-31.9425495,115.8675378
"146 Boulder Road (Cnr Connolly Street), SOUTH KALGOORLIE , Western Australia",-30.752806,121.4804072
"Lot 3861 Bathgate Road, NICKOL , Western Australia",-20.7413185,116.8103086
"2 Fenton Street (Cnr Kewdale Road), KEWDALE , Western Australia",-31.9834673,115.9560075
"18 Orchard Road (Cnr Kelvin Road), MADDINGTON , Western Australia",-32.0349035,115.9992609
"296 Benara Road (Cnr Beechboro Road North), MORLEY , Western Australia",-31.8757337,115.9244561
"1 Broadway (Cnr Stirling Highway), NEDLANDS , Western Australia",-31.9773976,115.813692
"2 Bristol Street (Cnr Warnbro Sound Ave), WARNBRO , Western Australia",-32.3291313,115.7588328
"91-93 Manning Road (Cnr Wyong Road), BENTLEY , Western Australia",-32.012161,115.914208
"2100 Albany Highway (Cnr Mills Street), GOSNELLS , Western Australia",-32.0641328,115.9995858
"581 Hannan Street (Cnr Ochiltree Street), SOMERVILLE , Western Australia",-30.764792,121.4525812
"2 Baroy Street (Cnr Old Coast Road), FALCON , Western Australia",-32.5810562,115.6613754
"79 Buckingham Drive (Cnr Hartman Drive), WANGARA , Western Australia",-31.7879469,115.8281512
"868 Pinjarra Road (Cnr Tonkin Drive), FURNISSDALE , Western Australia",-32.5671872,115.7983872
"2 Hollosy Way (Cnr Pinjar Road), ASHBY , Western Australia",-31.732253,115.8039423
"614 Baldivis Road (Cnr Safety Bay Road), BALDIVIS , Western Australia",-32.3312773,115.82028
"1 Capital Road (Cnr Alexander Drive), MALAGA , Western Australia",-31.8481812,115.8785164
"585 Canning Highway (Cnr North Lake Road), ALFRED COVE , Western Australia",-32.0312842,115.8151823
"240 Toodyay Road (Cnr Lewis Jones Crss), STRATTON , Western Australia",-31.86564,116.032647
"12-14 Cajarina Road (Cnr Pardoo Street), WEDGEFIELD , Western Australia",-20.3807683,118.5912417
"Cnr Grand Ent & The Promenade, AUSTRALIND , Western Australia",-33.2814228,115.7429945
"Lot 1437 Warambie Road, KARRATHA , Western Australia",-20.73136854,116.8465719
"168 Wanneroo Road (opp Giralt Road), MADELEY , Western Australia",-31.8182221,115.8240259
"6672 Bussell Highway, CARBUNUP RIVER , Western Australia",-33.6990633,115.1889981
"29/51 Farrington Street, LEEMING , Western Australia",-32.078901,115.8576221
"Cnr Pinjarra Road & Watson Drive, BARRAGUP , Western Australia",-32.5520344,115.7791394
"Lot 2065 Wilson Street, PORT HEDLAND , Western Australia",-20.3118328,118.6046097
"Lot 5553 Great Northern Highway, WEDGEFIELD , Western Australia",-20.3563024,118.6180315
"1230 Rosa Brook Road, ROSA BROOK , Western Australia",-33.9405275,115.1961691
"520 Robinson Street, KINGSFORD , Western Australia",-24.8650111,113.6938162
"Lot 277 Great Northern Highway, FITZROY CROSSING , Western Australia",-18.1938485,125.5604138
"84 Strelly Street (Cnr Fairlawn Road), BUSSELTON , Western Australia",-33.6627882,115.3486895
"2 Cowle Street, LANDSDALE , Western Australia",-31.8027828,115.8377724
"17 Brisbane Street (Cnr Pier Street), PERTH , Western Australia",-31.9442306,115.8690803
"Cnr Pinjarra Road & Carey Street, PINJARRA , Western Australia",-32.626634,115.8696015
"639 Frenchmans Bay Road, LITTLE GROVE , Western Australia",-35.0679168,117.8698785
"Cnr Great Eastern Highway & Yilgarn Ave, MALABAINE , Western Australia",-31.6351307,116.7178278
"4 Bayonet Head Road (Cnr Lower King Road), ALBANY , Western Australia",-34.9818277,117.9222614
"Cnr Mandurah Road & Beach Street, KWINANA BEACH , Western Australia",-32.2453153,115.7829028
"715 Pinjarra Road, BARRAGUP , Western Australia",-32.5569543,115.7878577
"1 Ikara Lane, YANCHEP , Western Australia",-31.5476942,115.641374
"Cnr John Willcock Link & Portway, WEST END , Western Australia",-28.7839969,114.5942213
"150 Massingham Street, KELLERBERRIN , Western Australia",-31.6333579,117.7273383
"121 Quinns Road (Cnr Tapping Way), QUINNS ROCKS , Western Australia",-31.67247,115.70766
"168 Walter Road West, BEDFORD , Western Australia",-31.9000697,115.8891428
"2 Cunningham Road, WEST KALGOORLIE , Western Australia",-30.7809705,121.4338361
"3 Herdsman Lane, WANNEROO , Western Australia",-32.1364081,115.8486094
"Airport Drive (Cnr Paltridge Road), PERTH AIRPORT , Western Australia",-31.955659,115.9694606
"Cnr Westfield Road & Ypres Road, CAMILLO , Western Australia",-32.118648,116.0028686
