stationcode,brand,name,address,lat,long,fueltype,fueltype_long,price,collection_datetime,collection_date
1,Coles Express,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,DL,Diesel,232.9,2022-12-08 14:00:10.626013,2022-12-08
1,Coles Express,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,E10,Ethanol 94,180.9,2022-12-08 14:00:10.626013,2022-12-08
1,Coles Express,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,P95,Premium 95,197.9,2022-12-08 14:00:10.626013,2022-12-08
1,Coles Express,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,P98,Premium 98,205.9,2022-12-08 14:00:10.626013,2022-12-08
1,Coles Express,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,U91,Unleaded 91,182.9,2022-12-08 14:00:10.626013,2022-12-08
2,Coles Express,Coles Express Glendale,"593 Main Rd, Glendale NSW 2285",-32.927065,151.637938,DL,Diesel,229.9,2022-12-08 14:00:10.626013,2022-12-08
2,Coles Express,Coles Express Glendale,"593 Main Rd, Glendale NSW 2285",-32.927065,151.637938,E10,Ethanol 94,176.9,2022-12-08 14:00:10.626013,2022-12-08
2,Coles Express,Coles Express Glendale,"593 Main Rd, Glendale NSW 2285",-32.927065,151.637938,P95,Premium 95,193.9,2022-12-08 14:00:10.626013,2022-12-08
2,Coles Express,Coles Express Glendale,"593 Main Rd, Glendale NSW 2285",-32.927065,151.637938,P98,Premium 98,201.9,2022-12-08 14:00:10.626013,2022-12-08
3,Coles Express,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",-34.00934,151.07548,DL,Diesel,219.9,2022-12-08 14:00:10.626013,2022-12-08
3,Coles Express,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",-34.00934,151.07548,E10,Ethanol 94,175.9,2022-12-08 14:00:10.626013,2022-12-08
3,Coles Express,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",-34.00934,151.07548,P95,Premium 95,192.9,2022-12-08 14:00:10.626013,2022-12-08
3,Coles Express,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",-34.00934,151.07548,P98,Premium 98,200.9,2022-12-08 14:00:10.626013,2022-12-08
4,Coles Express,Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",-31.111899,150.922823,DL,Diesel,215.9,2022-12-08 14:00:10.626013,2022-12-08
4,Coles Express,Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",-31.111899,150.922823,P95,Premium 95,197.9,2022-12-08 14:00:10.626013,2022-12-08
4,Coles Express,Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",-31.111899,150.922823,P98,Premium 98,205.9,2022-12-08 14:00:10.626013,2022-12-08
4,Coles Express,Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",-31.111899,150.922823,U91,Unleaded 91,182.9,2022-12-08 14:00:10.626013,2022-12-08
5,Coles Express,Coles Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",-34.336559,150.912153,DL,Diesel,233.9,2022-12-08 14:00:10.626013,2022-12-08
5,Coles Express,Coles Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",-34.336559,150.912153,E10,Ethanol 94,180.9,2022-12-08 14:00:10.626013,2022-12-08
5,Coles Express,Coles Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",-34.336559,150.912153,P95,Premium 95,197.9,2022-12-08 14:00:10.626013,2022-12-08
5,Coles Express,Coles Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",-34.336559,150.912153,P98,Premium 98,205.9,2022-12-08 14:00:10.626013,2022-12-08
5,Coles Express,Coles Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",-34.336559,150.912153,U91,Unleaded 91,182.9,2022-12-08 14:00:10.626013,2022-12-08
6,Coles Express,Coles Express Mudgee,"47 Church St (Cnr Mortimer St), Mudgee NSW 2850",-32.593538,149.588282,DL,Diesel,234.9,2022-12-08 14:00:10.626013,2022-12-08
6,Coles Express,Coles Express Mudgee,"47 Church St (Cnr Mortimer St), Mudgee NSW 2850",-32.593538,149.588282,U91,Unleaded 91,202.9,2022-12-08 14:00:10.626013,2022-12-08
7,Coles Express,Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",-31.094987,150.911999,DL,Diesel,222.9,2022-12-08 14:00:10.626013,2022-12-08
7,Coles Express,Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",-31.094987,150.911999,E10,Ethanol 94,180.9,2022-12-08 14:00:10.626013,2022-12-08
7,Coles Express,Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",-31.094987,150.911999,P95,Premium 95,197.9,2022-12-08 14:00:10.626013,2022-12-08
7,Coles Express,Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",-31.094987,150.911999,P98,Premium 98,205.9,2022-12-08 14:00:10.626013,2022-12-08
7,Coles Express,Coles Express Tamworth West,"147-149 Bridge St, Tamworth West NSW 2340",-31.094987,150.911999,U91,Unleaded 91,182.9,2022-12-08 14:00:10.626013,2022-12-08
8,Coles Express,Coles Express Greystanes,"Merrylands Road & Braeside St, Greystanes NSW 2145",-33.829525,150.952819,DL,Diesel,217.9,2022-12-08 14:00:10.626013,2022-12-08
8,Coles Express,Coles Express Greystanes,"Merrylands Road & Braeside St, Greystanes NSW 2145",-33.829525,150.952819,E10,Ethanol 94,164.9,2022-12-08 14:00:10.626013,2022-12-08
8,Coles Express,Coles Express Greystanes,"Merrylands Road & Braeside St, Greystanes NSW 2145",-33.829525,150.952819,P95,Premium 95,181.9,2022-12-08 14:00:10.626013,2022-12-08
8,Coles Express,Coles Express Greystanes,"Merrylands Road & Braeside St, Greystanes NSW 2145",-33.829525,150.952819,P98,Premium 98,189.9,2022-12-08 14:00:10.626013,2022-12-08
9,Coles Express,Coles Express Baulkham Hills,"363 Windsor Rd (Cnr Olive St), Baulkham Hills NSW 2153",-33.760143,150.99128,DL,Diesel,222.9,2022-12-08 14:00:10.626013,2022-12-08
