address,lat,long,convenient
"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,True
"593 Main Rd, Glendale NSW 2285",-32.927065,151.637938,True
"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",-34.00934,151.07548,False
"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",-31.111899,150.922823,True
"47 Church St (Cnr Mortimer St), Mudgee NSW 2850",-32.593538,149.588282,True
"147-149 Bridge St, Tamworth West NSW 2340",-31.094987,150.911999,True
"Merrylands Road & Braeside St, Greystanes NSW 2145",-33.829525,150.952819,False
"363 Windsor Rd (Cnr Olive St), Baulkham Hills NSW 2153",-33.760143,150.99128,True
"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,True
"269-275 Princes Highway, Corrimal NSW 2518",-34.374407,150.896376,True
"65-99 Hume Highway, Canley Vale NSW 2166",-33.893006,150.960593,True
"Mid Western Hwy & Nicholson Lane, Wyalong NSW 2671",-33.925413,147.256084,True
"99 Parraweena Rd (Cnr Taren Point Rd), Miranda NSW 2228",-34.026377,151.120108,True
"Cnr Wilbur & Kingsway Streets, Cronulla NSW 2230",-34.050956,151.150759,True
"Cnr Eagle Vale Dve & Gould Rd, Eagle Vale NSW 2558",-34.031183,150.816282,True
"646 Richmond Rd, Glendenning NSW 2761",-33.73762,150.853221,True
"247 Banks Drive (Cnr Mamre Rd), St Clair NSW 2759",-33.788333,150.771411,True
"69-73 George St, Singleton NSW 2330",-32.5629,151.175536,True
"1140-1140A Solitary Islands Way, Emerald Beach NSW 2456",-30.16434,153.18148,True
"611 Great Western Hwy (Cnr Brabham Drv), Eastern Creek NSW 2766",-33.792159,150.871489,True
"67 Wallarah Rd (Cnr Edith St), Gorokan NSW 2263",-33.25654,151.507969,True
"260 Pacific Hwy (Cnr Basford Road), Doyalson North NSW 2259",-33.186301,151.548878,True
"50-52 Ocean Beach Rd (Cnr Rawson St), Woy Woy NSW 2256",-33.493905,151.320693,False
"369-371 Pennant Hills Rd, Pennant Hills NSW 2120",-33.7387,151.073646,True
"Portion 101 Newell Highway (Cnr Tooraweenah Road), Gilgandra NSW 2827",-31.703093,148.678759,True
"211 The Entrance Rd (Cnr Bonnal Rd), Erina NSW 2250",-33.435578,151.385108,True
"Old Hume Hwy (Cnr Balaclava St), Mittagong NSW 2575",-34.439,150.471869,True
"Whylandra St & Victoria St, Dubbo NSW 2830",-32.247549,148.593317,True
"Mulgoa Road & Wolseley Road, Jamisontown NSW 2750",-33.770347,150.674028,True
"64 High Street, Wauchope NSW 2446",-31.457565,152.731699,True
"877-879 Pacific Hwy, Chatswood NSW 2067",-33.791717,151.180472,True
"484 Sunnyholt Road, Parklea NSW 2768",-33.729297,150.921811,True
"2-6 General Holmes Drive, Brighton-Le-Sands NSW 2216",-33.957809,151.15748,True
"133-137 Cary St, Toronto NSW 2283",-33.011721,151.593151,True
"13125 Hume Highway (Cnr Sally Corner Rd), Sutton Forest NSW 2577",-34.607743,150.228156,True
"Lot 2 Lake Entrance Road, Oak Flats NSW 2529",-34.563166,150.831516,False
"Avoca Dr & Bungoona St, Kincumber NSW 2251",-33.467789,151.383804,False
"13124 Hume Highway, Sutton Forest NSW 2577",-34.607616,150.227232,True
"37  Elizabeth St (Cnr Victoria  St), Wetherill Park NSW 2164",-33.845806,150.899637,True
"746-752 Richmond Road, Berkshire Park NSW 2765",-33.664575,150.799764,True
"630-634 Liverpool Road, Strathfield South NSW 2136",-33.88688,151.071135,True
"87 Llewellyn St (Cnr Glebe Rd), Merewether NSW 2291",-32.938146,151.749567,True
"277-281 Princes Highway, Carlton NSW 2218",-33.974858,151.127273,True
"592-596 Old Northern Rd, Dural NSW 2158",-33.694281,151.031261,True
"218 John St (Cnr Cumberland Hwy), Cabramatta NSW 2166",-33.893375,150.922094,True
"273 Old Hume Highway, Camden NSW 2570",-34.086627,150.694551,True
"213-253 Parramatta Rd & Walker St, Five Dock NSW 2046",-33.870106,151.115104,True
"189 Epping Rd & Culloden Rd, Marsfield NSW 2122",-33.775212,151.105289,True
"336 Victoria Street, Deniliquin NSW 2710",-35.523731,144.980729,True
"183 Vincent St, Cessnock NSW 2325",-32.838322,151.355439,True
"295 Woodville Rd, Guildford NSW 2161",-33.850752,150.996951,True
"176 Otho St, Inverell NSW 2360",-29.778219,151.115549,True
"Dean & Hill Streets, Tocumwal NSW 2714",-35.808364,145.559605,True
"835 King Georges Road, South Hurstville NSW 2221",-33.978745,151.105526,True
"274-276 Grand Parade (Cnr Ramsgate Rd), Ramsgate NSW 2217",-33.985745,151.147385,True
"311 Great Western Highway, Lawson NSW 2783",-33.721927,150.426038,True
"45 Lane Cove Rd & Myra Ave, Ryde NSW 2112",-33.807231,151.109825,True
"194-206 Pacific Hwy, Hornsby NSW 2077",-33.7072,151.099147,True
"Audley St & Caddell St, Narrandera NSW 2700",-34.747865,146.550362,True
"884-888 Hume Hwy (Cnr Strickland St), Bass Hill NSW 2197",-33.89964,150.997487,True
"504 Pacific Hwy (Cnr Maude St), Belmont NSW 2280",-33.03322,151.660617,True
"168-170 Snowy Mountains Hwy, Tumut NSW 2720",-35.302559,148.202254,True
"434 Crown St, Wollongong West NSW 2500",-34.425147,150.873512,True
"38-46 Victoria Rd, Drummoyne NSW 2047",-33.855759,151.159307,True
"1 Macquarie Place Haywards Bay, Yallah NSW 2530",-34.541247,150.785615,True
"286-288 Pennant Hills Rd (Cnr Adderton Rd), Carlingford NSW 2118",-33.784856,151.043604,True
"571 Argyle St (Cnr Yarrawa Rd), Moss Vale NSW 2577",-34.553424,150.364548,True
"678 The Horsley Drv (Cnr Cumberland Hwy), Smithfield NSW 2164",-33.85369,150.940106,True
"477 Pacific Highway, Artarmon NSW 2064",-33.810521,151.177429,True
"28 - 30 Avoca Drive, Kincumber NSW 2251",-33.467858,151.38063,False
