FuelCode,Price,IsAvailable,FuelOutletIdentifier,OutletName,Address,Postcode,Suburb,FuelBrandIdentifier,Longitude,Latitude,BrandIdentifier,BrandName,collection_datetime,collection_date
DL,244.00,True,08220001,Sandpalms Roadhouse,Lot 29 Bynoe Haven Rd,0822,Bynoe Haven,IN,130.615763,-12.81274,IN,Independent,2023-05-11 14:00:17.473315,2023-05-11
U91,195.00,True,08220001,Sandpalms Roadhouse,Lot 29 Bynoe Haven Rd,0822,Bynoe Haven,IN,130.615763,-12.81274,IN,Independent,2023-05-11 14:00:17.473315,2023-05-11
DL,235.00,True,08220002,Douglas Daly Holiday Park,Portion 3360 Oolloo Road,0822,Douglas Daly ,PM,131.370842,-13.546532,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,195.00,True,08220002,Douglas Daly Holiday Park,Portion 3360 Oolloo Road,0822,Douglas Daly ,PM,131.370842,-13.546532,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,0.00,True,08600003,Lone Star Service Station,3 Lot 1192 Paterson Street,0860,Tennant Creek  ,AM,134.187991,-19.653985,AM,AMPOL,2023-05-11 14:00:17.473315,2023-05-11
LAF,204.90,True,08600003,Lone Star Service Station,3 Lot 1192 Paterson Street,0860,Tennant Creek  ,AM,134.187991,-19.653985,AM,AMPOL,2023-05-11 14:00:17.473315,2023-05-11
P95,216.90,True,08600003,Lone Star Service Station,3 Lot 1192 Paterson Street,0860,Tennant Creek  ,AM,134.187991,-19.653985,AM,AMPOL,2023-05-11 14:00:17.473315,2023-05-11
PD,196.90,True,08600003,Lone Star Service Station,3 Lot 1192 Paterson Street,0860,Tennant Creek  ,AM,134.187991,-19.653985,AM,AMPOL,2023-05-11 14:00:17.473315,2023-05-11
DL,339.00,True,08220004,Milingimbi Store,Gadapu Road,0822,Milingimbi,PM,134.919574,-12.103322,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,339.00,True,08220004,Milingimbi Store,Gadapu Road,0822,Milingimbi,PM,134.919574,-12.103322,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,261.00,True,08520005,Kalkaringi Store,66 Buntine Highway,0852,Kalkarindji,PM,130.833808,-17.447503,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,239.00,True,08520005,Kalkaringi Store,66 Buntine Highway,0852,Kalkarindji,PM,130.833808,-17.447503,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,379.00,True,08220006,Ramingining Xpress,22 Ganinydja Road,0822,Ramingining,PM,134.925448,-12.332083,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,379.00,True,08220006,Ramingining Xpress,22 Ganinydja Road,0822,Ramingining,PM,134.925448,-12.332083,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
DL,275.00,True,08520007,Lajamanu Store & Service Station,Lot 315,0852,Lajamanu,PM,130.637291,-18.335695,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
LAF,274.00,True,08520007,Lajamanu Store & Service Station,Lot 315,0852,Lajamanu,PM,130.637291,-18.335695,PM,Puma Energy,2023-05-11 14:00:17.473315,2023-05-11
