address,lat,long,convenient
Lot 29 Bynoe Haven Rd,-12.81274,130.615763,False
Portion 3360 Oolloo Road,-13.546532,131.370842,False
3 Lot 1192 Paterson Street,-19.653985,134.187991,True
Gadapu Road,-12.103322,134.919574,False
66 Buntine Highway,-17.447503,130.833808,True
22 Ganinydja Road,-12.332083,134.925448,False
Lot 315,-18.335695,130.637291,False
Robinson River Rd,-16.758521,136.983529,False
330 Robinson Rd,-16.057088,136.307327,False
Lot 88 Nauiyu - 1 Main Street,-13.75048,130.690265,False
Lot 103,-14.353405,129.882286,False
LOT 262,-11.40313,130.417765,False
24 Hour. Lot 43 Warruwi Community,-11.650534,133.389994,False
52 Ngalagan Street,-14.561027,133.116874,True
Lot 327-373 ,-13.981412,136.461896,False
"Lot 13, Victoria Highway",-15.662884,130.480756,True
Cnr Store Rd/Alice Rd (Lot 132) ,-24.1299,134.372429,False
35 Spencer St,-22.128564,133.413494,True
Lot 28,-24.674253,134.075971,False
"Lot 339, Balamurra St ",-14.733209,134.73355,False
20 Kely Road,-23.266204,131.272643,False
Lot 7,-13.782702,136.194962,False
"Lot 168, Jungara Street",-21.002413,134.405907,False
Bulman via Central Arnhem Highway NT,-13.665901,134.333928,True
Lot 48 Canteen Creek Davenport Ranges,-20.644573,135.585732,False
"Lot 22, Nyirripi Community off Tanami Track",-22.649659,130.552139,False
Lot 535 & 796 Robinson Rd,-16.05368,136.306301,False
465 Stuart Highway,-12.52337,131.043451,True
808 Cox Peninsula Road,-12.700744,131.014053,False
Lot 116 Kintore Community,-23.275545,129.388544,False
Lot 39,-21.247534,132.609854,False
Lot 430 ,-22.25555,131.794646,False
425 STUART HWY,-12.520863,131.040981,True
2 BAGOT ST (CNR GAP RD),-23.707372,133.878905,True
Cnr DALGETY RD & LILBILI ST,-23.66775,133.864878,True
30 KATHERINE TERRACE,-14.46551,132.262743,True
37 DALY ST,-12.454479,130.838773,True
386 STUART HIGHWAY,-12.425722,130.869226,True
247 TROWER (CNR DRIPSTONE RDS),-12.376822,130.882005,False
2 YARRAWONGA RD (CNR ROYSTONEA AVE),-12.473721,130.9841,True
130 UNIVERSITY AVENUE,-12.480144,130.970135,False
37 PROGRESS DRIVE,-12.388251,130.851979,False
46 Coonawarra Road,-12.43158,130.874918,True
92 Jessop Cres,-12.427976,130.9131,True
Corner Wills Street and Railway Terrace,-23.695662,133.880355,True
Corner Chung Wah Terrace and Lambrick Avenue,-12.499875,130.986152,False
283 Trower Road,-12.372055,130.883614,False
20 Henning Road,-12.524825,131.042567,True
37 Kalymnos Drive,-12.401029,130.916358,False
Corner Lindsay and First Streets,-14.465399,132.26618,True
159 Dick Ward Drive,-12.389526,130.851965,False
15 Yarrawonga Road,-12.470486,130.984279,True
883 Stuart Highway,-12.454353,130.965929,True
8 Middleton St,-12.469825,130.987781,True
Cnr McMillans Rd & Neale St,-12.397213,130.859903,False
Cnr Wishart Road & McCarthy Close,-12.461616,130.929661,False
253 Bagot Road,-12.402207,130.855703,False
103 Smith Street,-12.458111,130.836149,True
37 Katherine Terrace,-14.462967,132.260655,True
Lot 2 420 Stuart Hwy,-12.522443,131.040123,True
1805 Stuart Highway,-12.633774,131.074496,True
340 Arnhem Highway,-12.572874,131.10414,True
187 Bagot Road,-12.40943,130.855712,False
17 Vanderlin Drive,-12.376162,130.88528,False
4A Emungalan Road,-14.450602,132.248104,True
1545 Stuart Highway (cnr Hook Road),-12.426162,130.893602,True
209 Stuart Hwy ,-12.4329,130.848332,True
3760 Stuart Highway,-12.799117,131.12208,True
"Lot 1102, 164 Forrest Parade",-12.508645,130.990031,False
440 Victoria Hwy,-14.485745,132.2575,True
70 Palm Circuit,-23.728498,133.867248,True
13030 Stuart Highway,-20.795274,134.23648,True
47 Moule Street,-13.825006,131.83516,False
34 Railway Terrace,-23.698712,133.878272,True
88 Ross Smith Avenue,-12.424795,130.839007,False
150 Whitewood Road,-12.49654,131.031436,False
Chambers Place (Crn Holzerland St & Malak Place),-12.396662,130.90436,False
26 Progress Drive,-12.3877,130.85206,False
905 Stuart Highway,-12.458593,130.971118,True
"Fuel Site 462, Davis Drive",-23.800432,133.901191,False
687 Stuart Highway,-12.433454,130.924834,True
274 Trower Road,-12.373514,130.883836,False
89-91 Smith Street,-12.459371,130.837418,True
"Lot 2, 600 Arnhem Highway",-12.578209,131.127682,True
231 McMillans Road,-12.394744,130.87797,False
25 Bagot Road,-12.426896,130.855965,True
Cnr Chung Wah Tce & Temple Tce,-12.482142,130.985802,True
890 Stuart Highway,-12.456695,130.966706,True
3921 Berrimah Road,-12.434533,130.923847,True
5 Wishart Road,-12.460552,130.926545,False
30 Virginia Road,-12.517866,131.029042,True
Lot 219 Nyananyana Street,-23.202401,131.912206,False
27-28 Tjalkabota Road,-23.942104,132.779855,True
22 Tarkarri Road ,-13.046505,131.027699,False
12725 Luritja Road,-24.405307,131.817917,False
Lot 526 Maningrida St,-12.049776,134.225488,False
1 Batten Road,-15.933263,136.478018,False
"LOT 122, 9 Antyiper Street",-20.985741,137.849121,False
Lot 341580,-12.905407,132.521309,False
Lot 120 Lasseter Road,-24.873506,129.083471,False
1 Morten Street (Lot 23) ,-21.654465,135.224331,False
Lot 53 Numbulwar,-14.283876,135.725471,True
561 Galawarra Road,-12.030372,135.568356,False
Central Arnhem Road,-13.952403,133.963894,True
7:00am - 8:00pm 7 days. 257 YULARA DRIVE,-25.240005,130.990076,False
6 Katherine Terrace,-14.466846,132.264715,True
2 Barkly Hwy (Cnr Barkly and Tablelands Highways),-19.710849,135.827585,True
