SiteID,BrandID,BrandName,PetrolStationName,Address,Postcode,Lat,Lng,FuelId,FuelName,Price,TransactionDateUtc,collection_datetime,collection_date
61290151,86,Liberty,Liberty Surat,61 Burrowes St,4417,-27.151487,149.067772,2,Unleaded,2059.0,2023-09-21T22:07:42.287,2023-10-01 14:00:04.568982,2023-10-01
61291313,5,BP,Lowes Mungindi Opt,126 Barwon Street,4497,-28.973667,148.983999,2,Unleaded,2100.0,2023-09-18T21:53:26.023,2023-10-01 14:00:04.568982,2023-10-01
61401007,113,7 Eleven,7-Eleven Coomera,Pacific Highway,4209,-27.868631,153.314186,2,Unleaded,1999.0,2023-09-30T18:28:02.627,2023-10-01 14:00:04.568982,2023-10-01
61401008,3421073,EG Ampol,EG Ampol Oxenford,116 Old Pacific Hwy & Cottonwood Pl,4210,-27.891187,153.313379,2,Unleaded,1989.0,2023-10-01T02:45:00,2023-10-01 14:00:04.568982,2023-10-01
61401010,111,Coles Express,Coles Express Nerang,6-8 Ferry Street,4211,-27.990212,153.337273,2,Unleaded,2379.0,2023-09-29T01:15:41.36,2023-10-01 14:00:04.568982,2023-10-01
61401011,3421066,Ampol,Ampol Foodary Nerang South, Cnr Pappas Wy West & Hinkler Dr,4211,-28.007124,153.341326,2,Unleaded,2379.0,2023-09-30T14:01:00,2023-10-01 14:00:04.568982,2023-10-01
61401013,2,Caltex,Caltex Broadbeach Waters,75 T E Peters Dr,4218,-28.026646,153.420582,2,Unleaded,2379.0,2023-09-30T02:38:06,2023-10-01 14:00:04.568982,2023-10-01
61401014,113,7 Eleven,7-Eleven Broadbeach,Hooker Bvd & Sunshine Bvd,4218,-28.035668,153.425077,2,Unleaded,2379.0,2023-09-30T18:28:02.627,2023-10-01 14:00:04.568982,2023-10-01
61401015,3421066,Ampol,Ampol Foodary Mudgeeraba,24 Railway Street,4213,-28.074705,153.363871,2,Unleaded,2379.0,2023-09-30T14:01:00,2023-10-01 14:00:04.568982,2023-10-01
61401017,3421066,Ampol,Ampol Foodary Reedy Creek South,2 Penny Lane,4227,-28.104933,153.406288,2,Unleaded,1989.0,2023-09-30T14:01:00,2023-10-01 14:00:04.568982,2023-10-01
61401019,110,Freedom Fuels,Freedom Fuels Varsity Lakes,Mattocks Rd & Cassia Dr,4220,-28.099718,153.419199,2,Unleaded,1979.0,2023-09-20T07:27:46.27,2023-10-01 14:00:04.568982,2023-10-01
61401020,3421066,Ampol,Ampol Foodary Coomera,22 Heathwood Dr,4209,-27.874732,153.312487,2,Unleaded,1989.0,2023-09-30T14:01:00,2023-10-01 14:00:04.568982,2023-10-01
61401023,3421073,EG Ampol,EG Ampol Runaway Bay,10 Lae Drive,4216,-27.912823,153.401908,2,Unleaded,2379.0,2023-10-01T02:45:00,2023-10-01 14:00:04.568982,2023-10-01
