address,lat,long,convenient
61 Burrowes St,-27.151747,149.067752,True
126 Barwon Street,-28.973667,148.983999,True
Pacific Highway,-27.868631,153.314186,True
116 Old Pacific Hwy & Cottonwood Pl,-27.891407,153.313409,True
6-8 Ferry Street,-27.990212,153.337273,True
 Cnr Pappas Wy West & Hinkler Dr,-28.007154,153.341436,True
75 T E Peters Dr,-28.026566,153.420652,False
Hooker Bvd & Sunshine Bvd,-28.035668,153.425077,True
24 Railway Street,-28.074705,153.363871,True
2 Penny Lane,-28.105123,153.406218,True
Mattocks Rd & Cassia Dr,-28.099718,153.419199,True
22 Heathwood Dr,-27.874682,153.312467,True
10 Lae Drive,-27.912933,153.401608,False
20 Bayview St & Broadwater St,-27.923584,153.403769,False
150 Brisbane Rd,-27.934781,153.391103,True
69 Frank St & Central St,-27.949897,153.408755,True
168 Marine Pde,-27.956735,153.409338,True
2 Spencer Rd,-27.996955,153.340494,True
 Henry Hester Drv (Cnr Macpherson Rd),-27.729217,153.224298,True
69 Johnston St,-27.964992,153.404009,True
174 Nerang Street,-27.974009,153.402823,True
34 Ferry Rd & Meron St,-27.974753,153.410762,True
170 Cotlew Street,-27.986755,153.382258,True
 Ashmore Rd (Cnr Glyn St),-28.010219,153.392748,True
94-102 Ferny Avenue,-27.995442,153.427467,True
 2824 Gold Coast Hwy (Cnr Monaco St),-28.017546,153.429031,True
2745 Gold Coast Hwy,-28.025426,153.429381,True
2142 Gold Coast Highway,-28.063796,153.437818,True
519 Olsen Avenue,-27.976439,153.381147,True
400 Nerang Rd,-27.978765,153.379636,True
1186 Gold Coast Hwy & Eighth Av,-28.118283,153.470756,True
468 Golden Four Dr,-28.142699,153.493365,True
 Gold Coast Hwy (Cnr Toolona & Maud St),-28.143595,153.493539,True
502 Gold Coast Hwy & Pacific Hwy,-28.141643,153.491371,True
2133 Gold Coast Highway,-28.065869,153.439717,True
2064 Gold Coast Hwy,-28.068475,153.441023,True
5 Old Pacific Hwy,-27.897219,153.313775,True
118 Frank St & Baker St,-27.945819,153.408203,True
20 Commercial Rd & Stratton St,-27.452584,153.041807,True
22 Gladstone Road,-27.483891,153.020309,True
Vulture Street,-27.484763,153.039958,True
41-49 Lytton Road,-27.479316,153.043606,True
118 Logan Rd,-27.490713,153.040173,True
119 Milton Rd,-27.467628,153.007504,True
 209 Oxford St (Cnr Hawthorne Rd),-27.452187,153.061914,False
1 Hawthorne Road,-27.472458,153.059572,False
979 Stanley Street East,-27.488386,153.047595,True
424 Old Cleveland Rd & Bennetts Rd,-27.491728,153.064933,True
164 Bennetts Rd & Milsom St,-27.483889,153.063678,False
184 Oateson Skyline Drive,-27.479358,153.071094,False
 720 Old Cleveland Rd (Cnr Arrol St),-27.492931,153.082534,True
774 Wynnum Road,-27.466515,153.078378,True
780 Wynnum Rd & Junction Rd,-27.466593,153.079008,False
1069 Wynnum Rd & Creek Rd,-27.469816,153.095634,True
 1874 Creek Rd (Cnr Pickwick St),-27.471349,153.095679,True
1469 Wynnum Rd,-27.474923,153.121015,True
 Cnr Manly & Wynnum Roads,-27.474466,153.130235,True
187-191 Quarry Road,-27.488687,153.194782,True
118 Birkdale Rd,-27.494781,153.212762,True
Birkdale Rd & Main Rd,-27.487062,153.238493,True
3 Gordon Street,-27.523907,153.258759,True
888 Moggill Rd & Marshall Ln,-27.507782,152.948145,True
611 Moggill Rd,-27.505678,152.960291,True
71 Coonan St,-27.500081,152.975349,True
246 Oxley Rd & Graceville Av,-27.522171,152.979984,True
624 Sherwood Road,-27.532831,152.983247,True
534 Ipswich Rd & Ekibin Rd,-27.512386,153.031784,True
563 Fairfield Rd & Nelson St,-27.519525,153.015255,False
