SiteID,BrandID,BrandName,PetrolStationName,Address,Postcode,Lat,Lng,FuelId,FuelName,Price,TransactionDateUtc,collection_datetime,collection_date
61205460,169,On the Run,OTR Dry Creek,11 Vader Street,5094,-34.819297,138.592116,2,Unleaded,1659.0,2022-12-08T02:50:00,2022-12-08 14:00:05.787271,2022-12-08
61501009,169,On the Run,OTR Pulteney Street,139 Angas St & Pulteney St,5000,-34.930514,138.605942,2,Unleaded,1649.0,2022-12-08T02:50:00,2022-12-08 14:00:05.787271,2022-12-08
61501012,111,Coles Express,Coles Express West Terrace,111 West Tce & Grote St,5000,-34.929914,138.588479,2,Unleaded,1649.0,2022-12-07T06:00:52.187,2022-12-08 14:00:05.787271,2022-12-08
61501014,169,On the Run,OTR Cavan Outbound Drive Thru,113-117 Port Wakefield Road,5094,-34.832464,138.598572,2,Unleaded,1625.0,2022-12-08T02:49:00,2022-12-08 14:00:05.787271,2022-12-08
61501019,111,Coles Express,Coles Express Modbury North,432 Montague Rd & Deborah Gr,5092,-34.829138,138.671545,2,Unleaded,1649.0,2022-12-05T09:15:47.503,2022-12-08 14:00:05.787271,2022-12-08
61501024,23,United,United Pooraka,876 Main North Rd & Diagonal Rd,5095,-34.826301,138.615323,2,Unleaded,1635.0,2022-12-08T01:58:48.087,2022-12-08 14:00:05.787271,2022-12-08
61501025,23,United,United Pooraka,895 Main North Rd,5095,-34.825525,138.616713,2,Unleaded,1635.0,2022-12-05T00:17:16.957,2022-12-08 14:00:05.787271,2022-12-08
61501026,3421073,EG Ampol,EG Ampol Blair Athol,355 Prospect Rd & Trigg St,5082,-34.863209,138.592684,2,Unleaded,1635.0,2022-12-08T02:45:00,2022-12-08 14:00:05.787271,2022-12-08
61501027,3421066,Ampol,Ampol North Adelaide,131-139 O'Connell St & Gover St,5006,-34.905049,138.595023,2,Unleaded,1635.0,2022-12-07T13:31:00,2022-12-08 14:00:05.787271,2022-12-08
61501029,169,On the Run,OTR Prospect,70 Prospect Rd & Marian Pl,5082,-34.891152,138.593874,2,Unleaded,1649.0,2022-12-08T02:50:00,2022-12-08 14:00:05.787271,2022-12-08
61501031,23,United,United Blair Athol,369 Prospect Rd & Audrey Av,5084,-34.861832,138.592402,2,Unleaded,1635.0,2022-12-08T01:58:47.087,2022-12-08 14:00:05.787271,2022-12-08
61501032,2,Caltex,Caltex Clearview,443 Main North Rd,5085,-34.853571,138.600772,2,Unleaded,1635.0,2022-12-07T13:31:00,2022-12-08 14:00:05.787271,2022-12-08
61501033,169,On the Run,OTR Blair Athol,Main North Road,5084,-34.861573,138.600594,2,Unleaded,1635.0,2022-12-08T02:49:00,2022-12-08 14:00:05.787271,2022-12-08
61501037,3421028,X Convenience,X Convenience Prospect,122 Main North Road,5082,-34.888426,138.602806,2,Unleaded,1635.0,2022-12-07T06:27:35,2022-12-08 14:00:05.787271,2022-12-08
61501041,86,Liberty,Liberty Marion,734  Marion Road,5043,-35.004112,138.557245,2,Unleaded,1625.0,2022-12-07T22:47:34.85,2022-12-08 14:00:05.787271,2022-12-08
61501043,169,On the Run,OTR Broadview,150 Hampstead Rd & Watson Av,5083,-34.868597,138.618537,2,Unleaded,1635.0,2022-12-08T02:50:00,2022-12-08 14:00:05.787271,2022-12-08
61501044,3421066,Ampol,Ampol Broadview, 76-80 Hampstead Road (Cnr Ian Street),5083,-34.876278,138.619001,2,Unleaded,1635.0,2022-12-07T13:31:00,2022-12-08 14:00:05.787271,2022-12-08
61501045,169,On the Run,OTR Thorngate,20A Main North Rd & Carter St,5082,-34.896131,138.599527,2,Unleaded,1635.0,2022-12-08T02:50:00,2022-12-08 14:00:05.787271,2022-12-08
61501047,169,On the Run,OTR Greenacres,325 North East Rd & Fosters Rd,5086,-34.870337,138.637622,2,Unleaded,1635.0,2022-12-08T02:50:00,2022-12-08 14:00:05.787271,2022-12-08
