address,lat,long,convenient
11 Vader Street,-34.819297,138.592116,True
139 Angas St & Pulteney St,-34.930514,138.605942,False
111 West Tce & Grote St,-34.929914,138.588479,True
113-117 Port Wakefield Road,-34.832464,138.598572,True
432 Montague Rd & Deborah Gr,-34.829138,138.671545,False
267 Wright Rd & Rutherford St,-34.835498,138.653462,False
876 Main North Rd & Diagonal Rd,-34.826301,138.615323,True
895 Main North Rd,-34.825525,138.616713,True
355 Prospect Rd & Trigg St,-34.863349,138.592544,False
131-139 O'Connell St & Gover St,-34.904949,138.595323,False
70 Prospect Rd & Marian Pl,-34.891152,138.593874,False
369 Prospect Rd & Audrey Av,-34.861832,138.592402,False
443 Main North Rd,-34.853641,138.600922,True
Main North Road,-34.861573,138.600594,True
122 Main North Road,-34.888426,138.602806,True
734  Marion Road,-35.004112,138.557245,True
150 Hampstead Rd & Watson Av,-34.868597,138.618537,True
 76-80 Hampstead Road (Cnr Ian Street),-34.876278,138.619001,True
20A Main North Rd & Carter St,-34.896131,138.599527,True
325 North East Rd & Fosters Rd,-34.870337,138.637622,True
386 North East Road,-34.866102,138.643756,True
431 North East Rd & Forbes St,-34.864657,138.644999,True
526 North East Rd & Sudholz Rd,-34.857693,138.655299,True
72 Gorge Rd & Jan St,-34.876163,138.674065,True
310 Gorge Rd,-34.871642,138.700406,True
232 St Bernards Rd & Watson St,-34.890146,138.674065,False
150 Montacute Rd & St Bernards Rd,-34.888665,138.673945,False
542 Lower North East Rd,-34.885681,138.659199,True
1 Fullarton Rd & North Tce,-34.916167,138.622503,True
88 Stephens Tce,-34.901222,138.618602,False
150 Fullarton Rd & Alexandra Av,-34.930821,138.623865,True
Fullarton Rd & Fisher St,-34.956366,138.626129,True
14 Fiveash Dr & Painter St,-35.001015,138.591021,False
62-102 Daws Road,-34.992557,138.569906,True
1004 South Rd,-34.981821,138.573708,True
53-57 Port Rd & Smith St,-34.915161,138.577587,True
754 Marion Rd & Finniss St,-35.005928,138.557791,True
Oaklands Road,-34.996464,138.530637,True
66 Brighton Rd & Diagonal Rd,-34.985332,138.520935,True
323-327 Brighton Rd & Lynmouth Av,-35.005885,138.521797,True
484 Port Road,-34.898127,138.560345,True
1916 Main North Rd & Malinya Dr,-34.758341,138.676203,True
1003 North East Rd & Montague Rd,-34.828014,138.692029,True
1244 North East Rd & Benbowie St,-34.821599,138.715792,True
110 Yorktown Rd & Butterfield Rd,-34.709074,138.684342,True
Main North Rd & Churcher Av,-34.684736,138.693029,True
443 Salisbury Hwy & Shepherdson Rd,-34.788748,138.618216,True
1461 Main North Rd & Mcintyre Rd,-34.791518,138.647868,True
427 Churchill Rd & Northcote St,-34.859449,138.583511,True
1230 Grand Junction Rd & Valley Rd,-34.843155,138.701222,False
149 Main North Road,-34.742288,138.675495,True
43-45 Main North Rd & Jane St,-34.679956,138.695109,True
926-936 Port Wakefield Road,-34.762803,138.593442,True
55 Commercial Rd & South Tce,-34.761511,138.649806,True
105 Park Tce & Cross Keys Rd,-34.768676,138.651204,False
492 Salisbury Highway,-34.791257,138.616023,True
126 Bridge Rd & Lincoln Cres,-34.828298,138.631848,False
931 North East Rd & Wright Rd,-34.833959,138.681829,True
1272 North East Rd & Hancock Rd,-34.821033,138.719082,True
664 Golden Grove Rd,-34.805054,138.702433,False
742 -746 North East Rd,-34.845971,138.670959,True
1380 Golden Grove Rd,-34.779635,138.722419,False
201 Salisbury Hwy,-34.771504,138.632727,True
106-110 Salisbury Hwy & Guerin St,-34.764544,138.639765,True
102 Waterloo Corner Rd & Russell,-34.756648,138.631847,False
965 Port Wakefield Road,-34.759859,138.590825,True
848 Grand Junction Rd & Wandana Av,-34.845468,138.660188,True
898 Main North Rd & Montague Rd,-34.824046,138.617185,True
41 Peachey Rd & Swallowcliffe Rd,-34.697594,138.665971,False
328 Salisbury Hwy & Kings Rd,-34.779511,138.626566,True
Main North Rd,-34.742709,138.676867,True
321 Bridge Rd,-34.813935,138.643263,False
Kesters Rd & Main North Rd,-34.800845,138.639866,True
660 North East Rd & Tarton Rd,-34.852846,138.665573,True
The Golden Wy & Sunnybrook Dr,-34.799027,138.686139,True
452 Grand Junction Rd & William St,-34.850186,138.554692,True
385 Grand Junction Road,-34.849944,138.547097,True
125 Grand Junction Rd & Evans St,-34.851462,138.524597,True
128 Grand Junction Rd,-34.851729,138.524699,True
208-210 Victoria Rd & Jetty Rd,-34.825724,138.500574,True
457-459 Victoria Road,-34.803279,138.500976,True
354 Military Rd & Wills St,-34.830651,138.487573,False
132 Semaphore Road,-34.840079,138.489082,True
356 Tapleys Hill Rd & Wilford Av,-34.902034,138.514044,True
500 Grange Road,-34.906626,138.509273,True
467-469 Tapleys Hill Rd,-34.914952,138.513277,True
510 Henley Beach Rd & Tapleys Hill Rd,-34.926084,138.517816,True
89 Military Rd & Burbridge Rd,-34.937589,138.501383,True
509-511 Anzac Hwy & Pine Av,-34.975568,138.528365,True
542 Cross Road,-34.967488,138.563788,True
340-346 Goodwood Rd & Cross Rd,-34.966093,138.590391,True
195 Richmond Road,-34.942008,138.562651,False
95 Henley Beach Road,-34.924148,138.569685,True
282 Henley Beach Rd & Holbrooks Rd,-34.924452,138.549519,True
299 Henley Beach Road,-34.924992,138.547632,True
Findon Rd & Grange Rd,-34.904723,138.532691,False
145 Crittendon Road,-34.895482,138.532035,False
148 Grange Rd & Holbrooks Rd,-34.904824,138.551554,True
69 Grange Road,-34.904142,138.558726,True
301 Port Road,-34.902332,138.568876,True
522 Port Rd,-34.896136,138.557929,True
