stationcode,brand,name,address,lat,long,fueltype,fueltype_long,price,collection_datetime,collection_date
4,BP,BP Brighton,"163 Brighton Road, Brighton TAS 7019",-42.6993,147.2513,P95,Premium 95,215.9,2022-11-23 14:00:11.020981,2022-11-23
4,BP,BP Brighton,"163 Brighton Road, Brighton TAS 7019",-42.6993,147.2513,P98,Premium 98,222.9,2022-11-23 14:00:11.020981,2022-11-23
4,BP,BP Brighton,"163 Brighton Road, Brighton TAS 7019",-42.6993,147.2513,PDL,Premium Diesel,242.9,2022-11-23 14:00:11.020981,2022-11-23
4,BP,BP Brighton,"163 Brighton Road, Brighton TAS 7019",-42.6993,147.2513,U91,Unleaded 91,199.9,2022-11-23 14:00:11.020981,2022-11-23
5,BP,BP Brooker,"200 Brooker Highway, North Hobart TAS 7000",-42.8700379,147.3214497,P95,Premium 95,205.9,2022-11-23 14:00:11.020981,2022-11-23
5,BP,BP Brooker,"200 Brooker Highway, North Hobart TAS 7000",-42.8700379,147.3214497,P98,Premium 98,212.9,2022-11-23 14:00:11.020981,2022-11-23
5,BP,BP Brooker,"200 Brooker Highway, North Hobart TAS 7000",-42.8700379,147.3214497,PDL,Premium Diesel,249.9,2022-11-23 14:00:11.020981,2022-11-23
5,BP,BP Brooker,"200 Brooker Highway, North Hobart TAS 7000",-42.8700379,147.3214497,U91,Unleaded 91,186.8,2022-11-23 14:00:11.020981,2022-11-23
6,BP,BP Cambridge,"967 Cambridge Road, Cambridge TAS 7170",-42.837107,147.4408011,P95,Premium 95,208.9,2022-11-23 14:00:11.020981,2022-11-23
6,BP,BP Cambridge,"967 Cambridge Road, Cambridge TAS 7170",-42.837107,147.4408011,PDL,Premium Diesel,239.9,2022-11-23 14:00:11.020981,2022-11-23
6,BP,BP Cambridge,"967 Cambridge Road, Cambridge TAS 7170",-42.837107,147.4408011,U91,Unleaded 91,197.9,2022-11-23 14:00:11.020981,2022-11-23
7,BP,BP Devonport,"3 Friend Street, Devonport TAS 7310",-41.1915972,146.3369471,P95,Premium 95,213.9,2022-11-23 14:00:11.020981,2022-11-23
7,BP,BP Devonport,"3 Friend Street, Devonport TAS 7310",-41.1915972,146.3369471,P98,Premium 98,222.9,2022-11-23 14:00:11.020981,2022-11-23
7,BP,BP Devonport,"3 Friend Street, Devonport TAS 7310",-41.1915972,146.3369471,PDL,Premium Diesel,249.9,2022-11-23 14:00:11.020981,2022-11-23
7,BP,BP Devonport,"3 Friend Street, Devonport TAS 7310",-41.1915972,146.3369471,U91,Unleaded 91,197.9,2022-11-23 14:00:11.020981,2022-11-23
8,BP,BP Hobart Airport,"3 Holyman Avenue, Hobart TAS 7170",-42.8327,147.491,P95,Premium 95,215.9,2022-11-23 14:00:11.020981,2022-11-23
8,BP,BP Hobart Airport,"3 Holyman Avenue, Hobart TAS 7170",-42.8327,147.491,P98,Premium 98,222.9,2022-11-23 14:00:11.020981,2022-11-23
8,BP,BP Hobart Airport,"3 Holyman Avenue, Hobart TAS 7170",-42.8327,147.491,PDL,Premium Diesel,249.9,2022-11-23 14:00:11.020981,2022-11-23
8,BP,BP Hobart Airport,"3 Holyman Avenue, Hobart TAS 7170",-42.8327,147.491,U91,Unleaded 91,199.9,2022-11-23 14:00:11.020981,2022-11-23
9,BP,BP Huonville,"60 Main Road, Huonville TAS 7109",-43.0292136,147.0500176,P98,Premium 98,214.9,2022-11-23 14:00:11.020981,2022-11-23
9,BP,BP Huonville,"60 Main Road, Huonville TAS 7109",-43.0292136,147.0500176,PDL,Premium Diesel,239.9,2022-11-23 14:00:11.020981,2022-11-23
9,BP,BP Huonville,"60 Main Road, Huonville TAS 7109",-43.0292136,147.0500176,U91,Unleaded 91,191.9,2022-11-23 14:00:11.020981,2022-11-23
10,BP,BP Kingston Tas,"Cnr Channel Highway & John Street, Kingston TAS 7050",-42.9754,147.3096,P95,Premium 95,215.9,2022-11-23 14:00:11.020981,2022-11-23
10,BP,BP Kingston Tas,"Cnr Channel Highway & John Street, Kingston TAS 7050",-42.9754,147.3096,P98,Premium 98,222.9,2022-11-23 14:00:11.020981,2022-11-23
10,BP,BP Kingston Tas,"Cnr Channel Highway & John Street, Kingston TAS 7050",-42.9754,147.3096,PDL,Premium Diesel,249.9,2022-11-23 14:00:11.020981,2022-11-23
10,BP,BP Kingston Tas,"Cnr Channel Highway & John Street, Kingston TAS 7050",-42.9754,147.3096,U91,Unleaded 91,199.9,2022-11-23 14:00:11.020981,2022-11-23
11,BP,BP Launceston,"31 Wellington Street, Launceston TAS 7250",-41.4393566,147.1365688,P95,Premium 95,215.9,2022-11-23 14:00:11.020981,2022-11-23
11,BP,BP Launceston,"31 Wellington Street, Launceston TAS 7250",-41.4393566,147.1365688,P98,Premium 98,222.9,2022-11-23 14:00:11.020981,2022-11-23
11,BP,BP Launceston,"31 Wellington Street, Launceston TAS 7250",-41.4393566,147.1365688,PDL,Premium Diesel,247.9,2022-11-23 14:00:11.020981,2022-11-23
11,BP,BP Launceston,"31 Wellington Street, Launceston TAS 7250",-41.4393566,147.1365688,U91,Unleaded 91,199.9,2022-11-23 14:00:11.020981,2022-11-23
12,BP,BP Lindisfarne,"170 East Derwent Highway, Lindisfarne TAS 7015",-42.8457973,147.35833,P95,Premium 95,215.9,2022-11-23 14:00:11.020981,2022-11-23
12,BP,BP Lindisfarne,"170 East Derwent Highway, Lindisfarne TAS 7015",-42.8457973,147.35833,P98,Premium 98,222.9,2022-11-23 14:00:11.020981,2022-11-23
12,BP,BP Lindisfarne,"170 East Derwent Highway, Lindisfarne TAS 7015",-42.8457973,147.35833,PDL,Premium Diesel,245.9,2022-11-23 14:00:11.020981,2022-11-23
12,BP,BP Lindisfarne,"170 East Derwent Highway, Lindisfarne TAS 7015",-42.8457973,147.35833,U91,Unleaded 91,199.9,2022-11-23 14:00:11.020981,2022-11-23
13,BP,BP Margate,"1718 Channel Highway, Margate TAS 7054",-43.0266606,147.2609635,P95,Premium 95,215.9,2022-11-23 14:00:11.020981,2022-11-23
13,BP,BP Margate,"1718 Channel Highway, Margate TAS 7054",-43.0266606,147.2609635,P98,Premium 98,222.9,2022-11-23 14:00:11.020981,2022-11-23
13,BP,BP Margate,"1718 Channel Highway, Margate TAS 7054",-43.0266606,147.2609635,PDL,Premium Diesel,249.9,2022-11-23 14:00:11.020981,2022-11-23
13,BP,BP Margate,"1718 Channel Highway, Margate TAS 7054",-43.0266606,147.2609635,U91,Unleaded 91,199.9,2022-11-23 14:00:11.020981,2022-11-23
14,BP,BP Moonah,"30 Main Road, Moonah TAS 7009",-42.8456751,147.294134,P95,Premium 95,203.9,2022-11-23 14:00:11.020981,2022-11-23
14,BP,BP Moonah,"30 Main Road, Moonah TAS 7009",-42.8456751,147.294134,P98,Premium 98,210.9,2022-11-23 14:00:11.020981,2022-11-23
14,BP,BP Moonah,"30 Main Road, Moonah TAS 7009",-42.8456751,147.294134,PDL,Premium Diesel,236.9,2022-11-23 14:00:11.020981,2022-11-23
14,BP,BP Moonah,"30 Main Road, Moonah TAS 7009",-42.8456751,147.294134,U91,Unleaded 91,187.9,2022-11-23 14:00:11.020981,2022-11-23
15,BP,BP Newnham,"117 George Town Road, Newnham TAS 7248",-41.3847474,147.1276279,P95,Premium 95,205.9,2022-11-23 14:00:11.020981,2022-11-23
15,BP,BP Newnham,"117 George Town Road, Newnham TAS 7248",-41.3847474,147.1276279,P98,Premium 98,212.9,2022-11-23 14:00:11.020981,2022-11-23
15,BP,BP Newnham,"117 George Town Road, Newnham TAS 7248",-41.3847474,147.1276279,PDL,Premium Diesel,245.9,2022-11-23 14:00:11.020981,2022-11-23
15,BP,BP Newnham,"117 George Town Road, Newnham TAS 7248",-41.3847474,147.1276279,U91,Unleaded 91,189.9,2022-11-23 14:00:11.020981,2022-11-23
16,BP,BP North Terrace,"36 North Terrace, Burnie TAS 7320",-41.0478,145.901,P95,Premium 95,210.9,2022-11-23 14:00:11.020981,2022-11-23
16,BP,BP North Terrace,"36 North Terrace, Burnie TAS 7320",-41.0478,145.901,P98,Premium 98,217.9,2022-11-23 14:00:11.020981,2022-11-23
16,BP,BP North Terrace,"36 North Terrace, Burnie TAS 7320",-41.0478,145.901,PDL,Premium Diesel,243.9,2022-11-23 14:00:11.020981,2022-11-23
16,BP,BP North Terrace,"36 North Terrace, Burnie TAS 7320",-41.0478,145.901,U91,Unleaded 91,194.9,2022-11-23 14:00:11.020981,2022-11-23
17,BP,BP Riverside,"214 West Tamar Road, Riverside TAS 7250",-41.4200043,147.1093515,P98,Premium 98,221.9,2022-11-23 14:00:11.020981,2022-11-23
17,BP,BP Riverside,"214 West Tamar Road, Riverside TAS 7250",-41.4200043,147.1093515,PDL,Premium Diesel,247.9,2022-11-23 14:00:11.020981,2022-11-23
17,BP,BP Riverside,"214 West Tamar Road, Riverside TAS 7250",-41.4200043,147.1093515,U91,Unleaded 91,198.9,2022-11-23 14:00:11.020981,2022-11-23
18,BP,BP St Helens,"Cnr 6 Circassion & Cecilia Streets, St Helens TAS 7216",-41.3236,148.24981,P98,Premium 98,221.9,2022-11-23 14:00:11.020981,2022-11-23
18,BP,BP St Helens,"Cnr 6 Circassion & Cecilia Streets, St Helens TAS 7216",-41.3236,148.24981,PDL,Premium Diesel,244.9,2022-11-23 14:00:11.020981,2022-11-23
18,BP,BP St Helens,"Cnr 6 Circassion & Cecilia Streets, St Helens TAS 7216",-41.3236,148.24981,U91,Unleaded 91,198.9,2022-11-23 14:00:11.020981,2022-11-23
19,BP,BP Ulverstone,"58 Main Street, Ulverstone TAS 7315",-41.1575246,146.1775819,P95,Premium 95,213.9,2022-11-23 14:00:11.020981,2022-11-23
19,BP,BP Ulverstone,"58 Main Street, Ulverstone TAS 7315",-41.1575246,146.1775819,P98,Premium 98,220.9,2022-11-23 14:00:11.020981,2022-11-23
