address,lat,long,convenient
"163 Brighton Road, Brighton TAS 7019",-42.6993,147.2513,False
"200 Brooker Highway, North Hobart TAS 7000",-42.8700379,147.3214497,True
"967 Cambridge Road, Cambridge TAS 7170",-42.837107,147.4408011,True
"3 Friend Street, Devonport TAS 7310",-41.1915972,146.3369471,True
"3 Holyman Avenue, Hobart TAS 7170",-42.8327,147.491,True
"60 Main Road, Huonville TAS 7109",-43.0292136,147.0500176,True
"Cnr Channel Highway & John Street, Kingston TAS 7050",-42.9754,147.3096,True
"31 Wellington Street, Launceston TAS 7250",-41.4393566,147.1365688,True
"170 East Derwent Highway, Lindisfarne TAS 7015",-42.8457973,147.35833,True
"1718 Channel Highway, Margate TAS 7054",-43.0266606,147.2609635,True
"30 Main Road, Moonah TAS 7009",-42.8456751,147.294134,False
"117 George Town Road, Newnham TAS 7248",-41.3847474,147.1276279,False
"36 North Terrace, Burnie TAS 7320",-41.0478,145.901,True
"214 West Tamar Road, Riverside TAS 7250",-41.4200043,147.1093515,True
"Cnr 6 Circassion & Cecilia Streets, St Helens TAS 7216",-41.3236,148.24981,True
"58 Main Street, Ulverstone TAS 7315",-41.1575246,146.1775819,True
"528 South Arm Highway, Lauderdale TAS 7021",-42.9140087,147.4863129,True
"32 Formby Road, Devomport TAS 7310",-41.1856611,146.3615692,False
"1 Gordons Hill Road, Bellerive TAS 7018",-42.8660745,147.3729827,False
"323-325 Main Road, Glenorchy TAS 7010",-42.8336862,147.2809297,False
"272 Macquarie Street, South Hobart TAS 7004",-42.8912049,147.319796,True
"152-158 Davey Street CNR Antill Street, Hobart South TAS 7000",-42.891354,147.321352,True
"109 EAST DERWENT HWY, LINDISFARNE TAS 7015",-42.8517409,147.3601656,True
"13 Tasman Highway, Midway Point TAS 7171",-42.8041329,147.5326407,True
"71 Risdon Road near Queens Walk, New Town TAS 7008",-42.851853,147.310634,True
"388 Sandy Bay Road, Sandy Bay TAS 7005",-42.9022118,147.3346868,True
"Cnr North Terrace & Mount Street, Burnie TAS 7320",-41.0498,145.9052,True
"1 Box Hill Road, Claremont TAS 7011",-42.7924693,147.2567552,False
"463-465 Main Road, Glenorchy TAS 7010",-42.8294,147.2691,True
"242 CLARENCE ST, HOWRAH TAS 7018",-42.8775095,147.3962802,True
"45 Main Road, Huonville TAS 7109",-43.03,147.0486,True
"111 Hobart Road, Kingsmeadows TAS 7249",-41.4651,147.1594,False
"37-59 Maranoa Road, Kingston TAS 7050",-42.9799431,147.3027728,True
"Corner Freshwater Point Road and Legana Grove, Legana TAS 7277",-41.3639,147.0422,True
"262 Invermay Road, Mowbray TAS 7248",-41.4050213,147.1342124,False
"81 High Street, New Norfolk TAS 7140",-42.7802635,147.0657961,True
"360-364 Westbury Road, Prospect Vale TAS 7250",-41.4810797,147.1259995,False
"12 Weston Hill Road, Sorell TAS 7172",-42.7802,147.565,True
"20-22 Eastland Drive, Ulverstone TAS 7315",-41.1587,146.184,True
"34 Jackson Street, Wynyard TAS 7325",-40.9904269,145.7282697,False
"176 Roslyn Avenue, Blackmans Bay TAS 7052",-43.0001808,147.320607,False
"146 Brighton Road (Cnr Andrew Street), Brighton TAS 7030",-42.700453,147.251113,False
"22 Formby Road & Ashburner Street, Devonport TAS 7310",-41.187463,146.361823,True
"418 Main Road, Glenorchy TAS 7010",-42.8320708,147.2707854,False
"257 Elizabeth Street, Hobart TAS 7000",-42.8765375,147.3190101,True
"2 Howrah Road, Howrah TAS 7018",-42.8806114,147.4058823,True
"103 Invermay Road, Launceston TAS 7250",-41.425354,147.136585,True
"69 Wellington St, Cnr York St, Launceston TAS 7250",-41.440432,147.137347,True
"106-114 Bathurst St, Launceston TAS 7250",-41.4446547,147.1375611,True
"112 Charles Street, Moonah TAS 7009",-42.8414921,147.2884415,False
"27 Hamilton Road (Lyell Highway), New Norfolk TAS 7140",-42.777244,147.053854,True
"1-3 Hobblers Bridge Road, Launceston TAS 7250",-41.441623,147.162028,True
"142 Sandy Bay Road, Sandy Bay TAS 7005",-42.8937266,147.3261043,True
"6-8 Brittons Road, Smithton TAS 7330",-40.8560213,145.1339397,True
"4-12 Cole St (Arthur Highway), Sorell TAS 7172",-42.782008,147.565414,True
"Lot 10-12 Bellbay Road, Bell Bay TAS 7253",-41.1173046,146.8671413,True
"19 Greenbanks Road, Bridgewater TAS 7030",-42.723994,147.231813,True
"River Road, Wivenhoe TAS 7230",-41.0671008,145.9257496,True
"29 MEANDER VALLEY RD, DELORAINE TAS 7304",-41.5249983,146.6640326,True
"1-3 Stoney Rise Road, Quoiba TAS 7310",-41.209849,146.3437915,True
"Wright St, Douglas St, East Devonport TAS 7310",-41.18343,146.3691,True
"Gleadow Street, Launceston TAS 7250",-41.4264166,147.1370712,True
"7 King Street, Scottsdale TAS 7260",-41.1601235,147.518321,True
"3 Spring Street, Sheffield TAS 7306",-41.3833676,146.3328401,True
"Bass Highway, Smithton TAS 7330",-40.8580528,145.1274173,True
"Strahan Wharf, Strahan TAS 7468",-42.15359,145.328592,True
"21 Tasman Highway, Triabunna TAS 7190",-42.5006664,147.913759,True
"258 Main Street, Zeehan TAS 7469",-41.881125,145.3278295,False
"187 Weld Street, BEACONSFIELD TAS 7270",-41.1959248,146.8118829,True
"Bell Bay Road, BELL BAY TAS 7253",-41.129818,146.86711,False
"28 Tasman Highway, BICHENO TAS 7215",-41.8717712,148.2950255,True
"74 -76 Mount Street, BURNIE TAS 7320",-41.054208,145.9042558,True
"3 East Cam Road, CAMDALE TAS 7320",-41.04068,145.84494,True
"94 Main Road, CLAREMONT TAS 7011",-42.7875827,147.251918,True
"89 Best Street, DEVONPORT TAS 7310",-41.177393,146.3512702,False
"161 Tarleton Street, EAST DEVONPORT TAS 7310",-41.185203,146.3720877,True
"110A Main Road, EXETER TAS 7275",-41.2996746,146.9530931,True
"15 Gage Road, GAGEBROOK TAS 7030",-42.7505491,147.2748559,True
"59-63 Main Road, GEORGE TOWN TAS 7253",-41.1086195,146.8365299,True
"84 Meander Valley Road, HAGLEY TAS 7292",-41.5264323,146.8833442,True
"5540 Lyell Highway, HAMILTON TAS 7140",-42.5499823,146.8198205,False
"197 Channel Highway, KINGSTON TAS 7050",-42.9841449,147.2931529,True
"191 Gilbert Street, LATROBE TAS 7307",-41.2365998,146.4189048,True
"771 West Tamar Highway, LEGANA TAS 7277",-41.3692652,147.0472339,True
"5 Wellington Street, LONGFORD TAS 7301",-41.5878096,147.1194987,True
"409 Brooker Hwy, LUTANA TAS 7009",-42.8374,147.30339,True
"7 George Town Road, NEWNHAM TAS 7248",-41.3980623,147.1279732,False
"353-357 Argyle Street, NORTH HOBART TAS 7000",-42.8708967,147.3170467,True
"123 Paterson Street, LAUNCESTON TAS 7250",-41.4401675,147.1317211,True
"102 Main Road, PERTH TAS 7300",-41.5786426,147.1765334,True
"Penghana Road, QUEENSTOWN TAS 7467",-42.069304,145.560741,True
"149 Sandy Bay Road, SANDY BAY TAS 7005",-42.8941963,147.3255924,True
"6 Churchills Road, SASSAFRAS TAS 7307",-41.28357,146.4929,True
"34814 Tasman Highway, SCOTTSDALE TAS 7260",-41.1859015,147.5534873,True
"20 Selfs Point Road, NEW TOWN TAS 7008",-42.8463157,147.3230819,False
"100 Alexander Street, SHEARWATER TAS 7307",-41.1626681,146.5324834,False
"2 Main Street, SHEFFIELD TAS 7306",-41.3798036,146.3174368,True
"Greys Mill Road, SMITHTON TAS 7330",-40.857738,145.128784,True
"14 Gordon Street, SORELL TAS 7172",-42.7829702,147.5627379,True
"16 Cecilia Street, ST HELENS TAS 7216",-41.3229899,148.2499719,True
"2 Rosny Hill Road, BELLERIVE  TAS 7018",-42.8683231,147.3712637,False
"22 - 24 Trevor Street, ULVERSTONE TAS 7315",-41.1644633,146.1618593,True
"174 Clarence Street, HOWRAH TAS 7018",-42.8760349,147.3884315,False
"10 Inglis Street, WYNYARD TAS 7325",-40.9899358,145.7231957,False
"115 Main Street, ZEEHAN TAS 7469",-41.8841979,145.336797,False
"52 High Street, Oatlands TAS 7120",-42.30074,147.3694561,True
"7 Reid Street, STRAHAN TAS 7468",-42.1500753,145.3280146,True
"21 Wellington, LONGFORD TAS 7301",-41.589316,147.120673,True
"42 Mary Street, CYGNET TAS 7112",-43.1598687,147.0760916,True
"19326 Bass Highway, ROCKY CAPE TAS 7321",-40.8872897,145.4699586,True
"7 King Street, SCOTTSDALE TAS 7260",-41.1601235,147.518321,True
"5-7 Cutten Street, Queenstown TAS 7467",-42.0805026,145.5539823,True
"6954 Lyell Highway, Ouse TAS 7140",-42.4846164,146.7105901,True
"92 Meander Valley Road, Westbury TAS 7303",-41.5264203,146.8333992,True
"85 High Street, Campbell Town  TAS 7210",-41.9278466,147.4945134,True
"184 High Street, Campbell Town  TAS 7210",-41.9410437,147.4910721,True
"136-138 Tarleton Street, East Devonport TAS 7310",-41.1856297,146.3712977,True
"84 Main Road, Exeter TAS 7275",-41.302828,146.9569097,True
"32-36 Main Road, George Town TAS 7253",-41.1082991,146.8312461,True
"329-333 Wellington Street , South Launceston TAS 7249",-41.4537344,147.1446911,True
