address,lat,long,convenient
"31 South Western Highway, PINJARRA , Western Australia",-32.6145387,115.8938472,True
"194 Great Eastern Highway, ASCOT , Western Australia",-31.9329157,115.9400686,True
"174 Balcatta Road, BALCATTA , Western Australia",-31.8598506,115.8097253,True
"102 Princess Road, BALGA , Western Australia",-31.8564856,115.8375112,True
"1/300 Joseph Banks Bvd, BANKSIA GROVE , Western Australia",-31.7031131,115.8032209,True
"302-318 Collier Road, BASSENDEAN , Western Australia",-31.9071577,115.9421304,True
"35 Port Kembla Drive, BIBRA LAKE , Western Australia",-32.1012766,115.8012065,True
"492 Marmion Street, BOORAGOON , Western Australia",-32.0364814,115.8379295,True
"270 Butler Bvd, BUTLER , Western Australia",-31.6373744,115.6989813,False
"25 Abernethy Road, BYFORD , Western Australia",-32.2192227,115.9750366,False
"215 Campbell Road, CANNING VALE , Western Australia",-32.0980751,115.9199446,True
"232 Orrong Road, CARLISLE , Western Australia",-31.97182365,115.91805541255084,True
"2131 West Swan Road, CAVERSHAM , Western Australia",-31.8733655,115.978168,True
"814 North Lake Road, COCKBURN CENTRAL , Western Australia",-32.1200534,115.8467146,True
"2 Haydock Street, FORRESTDALE , Western Australia",-32.1259167,115.9578071,True
"303 Corfield Street, GOSNELLS , Western Australia",-32.0808532,115.9886829,True
"13 Lakes Road, GREENFIELDS , Western Australia",-32.516753,115.7693875,False
"1 Eaglemont Street, GREENFIELDS , Western Australia",-32.5207908,115.7532026,True
"120 Yellowwood Ave, HARRISDALE , Western Australia",-32.1279025,115.9256457,True
"1256 Armadale Road, ARMADALE , Western Australia",-32.148061,115.9866245,True
"8 Buick Way, JOONDALUP , Western Australia",-31.7532914,115.7649758,True
"4 Church Street, KELMSCOTT , Western Australia",-32.1194558,116.0177932,True
"105 Champion Drive, KELMSCOTT , Western Australia",-32.1295024,116.000332,True
"8 Mullingar Way, LANDSDALE , Western Australia",-31.805382,115.8357837,True
"1969 Albany Highway, MADDINGTON , Western Australia",-32.0466998,115.9753996,True
"650 Marshall Road, MALAGA , Western Australia",-31.8572579,115.9078726,False
"324 The Broadway, ELLENBROOK , Western Australia",-31.7712001,115.9690148,False
"296 Pinjarra Road, MANDURAH , Western Australia",-32.5351937,115.7166428,True
"40-42 Great Northern Highway, MIDDLE SWAN , Western Australia",-31.8666033,116.0143495,True
"8 Clayton Street, MIDLAND , Western Australia",-31.8990741,116.01282699305324,True
"231 Morrison Road, MIDVALE , Western Australia",-31.8860881,116.028185,True
"162 Russell Street, MORLEY , Western Australia",-31.8965761,115.8947289,True
"235 Welshpool Road, QUEENS PARK , Western Australia",-31.9975838,115.9506951,True
"129 Dixon Road, EAST ROCKINGHAM , Western Australia",-32.2769592,115.7827979,True
"481 Balfour Street, SOUTHERN RIVER , Western Australia",-32.1064402,115.94166616064638,True
"660 Beeliar Drive, SUCCESS , Western Australia",-32.1277993,115.8593059,True
"125 Murdoch Road, THORNLIE , Western Australia",-32.0615519,115.9437112,True
"79 Gnangara Road, WANGARA , Western Australia",-31.8023005,115.8341286,True
"929-931 Wanneroo Road, WANNEROO , Western Australia",-31.6916696,115.7599059,True
"990 Wanneroo Road, WANNEROO , Western Australia",-31.6101151,115.7126511,True
"332 Hale Road, WATTLE GROVE , Western Australia",-31.9980281,115.990561,True
"86 South Coast Highway, ORANA , Western Australia",-35.0022374,117.8645789,True
"3 Armadale Road, JANDAKOT , Western Australia",-32.1235994,115.8584087,True
"Lot 602 Forrest Highway, WEST PINJARRA , Western Australia",,,False
"Lot 601 Forrest Highway, WEST PINJARRA , Western Australia",-32.6062722,115.8142031,True
"39 Bussell Highway, GELORUP , Western Australia",-33.4027143,115.6366084,True
"Lot 50 Mandurah Road, MEADOW SPRINGS , Western Australia",-32.4822941,115.7554751,True
"40 North West Coastal Highway, WONTHELLA , Western Australia",-28.7705916,114.6246049,True
"287 Place Road, WEBBERTON , Western Australia",-28.7593004,114.6248808,True
"3249 Albany Highway, ARMADALE , Western Australia",-32.1490124,116.0211531,True
"80 Old Coast Road, AUSTRALIND , Western Australia",-33.2925912,115.7093768,False
"59 Great Eastern Highway, BELLEVUE , Western Australia",-31.8929217,116.0197492,True
"69 Pinetree Gully Road, WILLETTON , Western Australia",-32.0609159,115.8772818,True
"1443 Albany Highway, CANNINGTON , Western Australia",-32.0113539,115.9263031,True
"121 Collins Road, WILLETTON , Western Australia",-32.055384,115.8966553,True
"226 Morrison Road, MIDVALE , Western Australia",-31.8860881,116.028185,True
"40 Benara Road, NORANDA , Western Australia",-31.8754474,115.9096224,True
"941 Whitfords Ave, WOODVALE , Western Australia",-31.7979744,115.7870498,True
"35 Albany Highway, ALBANY , Western Australia",-34.9638169,117.8193953,True
"848 Canning Highway, APPLECROSS , Western Australia",-32.01489425,115.8432482604572,True
"530 Canning Highway, ATTADALE , Western Australia",-32.0313245,115.8133476,True
"100-102 Blackwood Ave, AUGUSTA , Western Australia",-34.3088422,115.158152,True
"53 Erindale Road, BALCATTA , Western Australia",-31.8600744,115.8106497,True
"Lot 191 Paparone Road, BALDIVIS , Western Australia",-32.3138711,115.8283831,True
"Lot 192 Leary Road, BALDIVIS , Western Australia",,,False
"2/909 Mandurah Road, BALDIVIS , Western Australia",-32.3825703,115.7818473,True
"2 Illawarra Cres North, BALLAJURA , Western Australia",-31.8278673,115.8822011,True
"1084 Great Northern Highway, BASKERVILLE , Western Australia",-31.7953351,116.0214061,True
"701 Beeliar Drive, COCKBURN CENTRAL , Western Australia",-32.1285595,115.8538936,True
"261 Eddystone Ave, BELDON , Western Australia",-31.777062,115.7663968,False
"2 Wellard Street, BIBRA LAKE , Western Australia",-32.1038844,115.8038995,True
"2 Coghlan Street, DJUGUN , Western Australia",-17.9534707,122.2373333,True
"83 Wheatley Drive, BULL CREEK , Western Australia",-32.0568638,115.8662623,False
"26 Albert Street, BUSSELTON , Western Australia",-33.6517797,115.3465158,True
"13 Bannister Road, CANNING VALE , Western Australia",-32.0720281,115.8928106,True
"1134 North West Coastal Highway, BROWN RANGE , Western Australia",-24.8623956,113.71239813902504,True
"40 Bennett Street, CAVERSHAM , Western Australia",-31.8718017,115.96017850049913,True
"28K Caloundra Road, CLARKSON , Western Australia",-31.6924959,115.722252,True
"138 Loch Street, DERBY , Western Australia",-17.3092653,123.6465936,True
"210 Great Eastern Highway, ASCOT , Western Australia",-31.9329157,115.9400686,True
"2 Prendiville Ave, OCEAN REEF , Western Australia",-31.7528185,115.7388827,True
"44 Archer Street, CARLISLE , Western Australia",-31.9759103,115.9139223,True
"2 Sunlander Drive, CURRAMBINE , Western Australia",-31.7249481,115.747384,True
"68-70 Brown Street, EAST PERTH , Western Australia",-31.9509152,115.8745688,True
"190 Karrinyup Road, KARRINYUP , Western Australia",-31.8776806,115.7758987,True
"4 Chisham Ave, KWINANA TOWN CENTRE , Western Australia",-32.244183,115.8123954,True
"218 Main Street, OSBORNE PARK , Western Australia",-31.9060291,115.8282144,True
"2 Ridgewood Bvd, RIDGEWOOD , Western Australia",-31.6642939,115.7249473,True
"246 Leach Highway, MYAREE , Western Australia",-32.0460896,115.8172354,True
"349 Charles Street, NORTH PERTH , Western Australia",-31.9234194,115.8510357,True
"2 Warburton Ave, PADBURY , Western Australia",-31.811086,115.7655285,False
"214 Warnbro Sound Ave, WARNBRO , Western Australia",-32.358132,115.7620008,True
"222 Rockingham Road, SPEARWOOD , Western Australia",-32.1010754,115.7827567,True
"339 High Road, RIVERTON , Western Australia",-32.0386443,115.8962915,True
"2 Chalgrove Ave, ROCKINGHAM , Western Australia",-32.2844809,115.7466503,True
"9 Mends Street, SOUTH PERTH , Western Australia",-31.9726824,115.8523863,True
"810 Beeliar Drive, SUCCESS , Western Australia",-32.1277993,115.8593059,True
"261 Walter Road West, MORLEY , Western Australia",-31.8961967,115.8944065,True
"240 Cambridge Street, WEMBLEY , Western Australia",-31.9407457,115.8114475,True
"11 Scarborough Beach Road, SCARBOROUGH , Western Australia",-31.8939583,115.7738031,True
"1 Roy Earl Drive, COWARAMUP , Western Australia",-33.8558393,115.1028205,True
"7 Welshpool Road East, LESMURDIE , Western Australia",-32.0155012,116.0470014,True
"Lot 6 Great Eastern Highway, CUNDERDIN , Western Australia",-31.6430769,117.3345629,True
"44A South Coast Highway, DENMARK , Western Australia",-34.96741,117.435625,True
"19 Rodgers Street, DERBY , Western Australia",-17.3288677,123.6521926,True
"4 Wanneroo Road, YOKINE , Western Australia",-31.9023772,115.8429905,True
"15 South Western Highway, DONNYBROOK , Western Australia",-33.5795825,115.8404084,True
"238 Naturaliste Tce, DUNSBOROUGH , Western Australia",-33.6151791,115.1059873,True
"137 Dixon Road, EAST ROCKINGHAM , Western Australia",-32.2764283,115.7875836,True
"2 The Gateway, EDGEWATER , Western Australia",-31.763749,115.7738404,True
"484 Walter Road East, EMBLETON , Western Australia",-31.8950334,115.9234673,True
"2 Alex Wood Drive, FORRESTDALE , Western Australia",-32.141080650000006,115.96600609594029,True
