address,long,lat
"31 South Western Highway, PINJARRA , Western Australia",115.8938472,-32.6145387
"194 Great Eastern Highway, ASCOT , Western Australia",115.9400686,-31.9329157
"174 Balcatta Road, BALCATTA , Western Australia",115.8097253,-31.8598506
"102 Princess Road, BALGA , Western Australia",115.8375112,-31.8564856
"1/300 Joseph Banks Bvd, BANKSIA GROVE , Western Australia",115.8032209,-31.7031131
"302-318 Collier Road, BASSENDEAN , Western Australia",115.9421304,-31.9071577
"35 Port Kembla Drive, BIBRA LAKE , Western Australia",115.8012065,-32.1012766
"492 Marmion Street, BOORAGOON , Western Australia",115.8379295,-32.0364814
"270 Butler Bvd, BUTLER , Western Australia",115.6989813,-31.6373744
"25 Abernethy Road, BYFORD , Western Australia",115.9750366,-32.2192227
"215 Campbell Road, CANNING VALE , Western Australia",115.9199446,-32.0980751
"232 Orrong Road, CARLISLE , Western Australia",115.91805541255084,-31.97182365
"2131 West Swan Road, CAVERSHAM , Western Australia",115.978168,-31.8733655
"814 North Lake Road, COCKBURN CENTRAL , Western Australia",115.8467146,-32.1200534
"2 Haydock Street, FORRESTDALE , Western Australia",115.9578071,-32.1259167
"303 Corfield Street, GOSNELLS , Western Australia",115.9886829,-32.0808532
"13 Lakes Road, GREENFIELDS , Western Australia",115.7693875,-32.516753
"1 Eaglemont Street, GREENFIELDS , Western Australia",115.7532026,-32.5207908
"120 Yellowwood Ave, HARRISDALE , Western Australia",115.9256457,-32.1279025
"1256 Armadale Road, ARMADALE , Western Australia",115.9866245,-32.148061
"8 Buick Way, JOONDALUP , Western Australia",115.7649758,-31.7532914
"4 Church Street, KELMSCOTT , Western Australia",116.0177932,-32.1194558
"105 Champion Drive, KELMSCOTT , Western Australia",116.000332,-32.1295024
"8 Mullingar Way, LANDSDALE , Western Australia",115.8357837,-31.805382
"1969 Albany Highway, MADDINGTON , Western Australia",115.9753996,-32.0466998
"650 Marshall Road, MALAGA , Western Australia",115.9078726,-31.8572579
"324 The Broadway, ELLENBROOK , Western Australia",115.9690148,-31.7712001
"296 Pinjarra Road, MANDURAH , Western Australia",115.7166428,-32.5351937
"40-42 Great Northern Highway, MIDDLE SWAN , Western Australia",116.0143495,-31.8666033
"8 Clayton Street, MIDLAND , Western Australia",116.01282699305324,-31.8990741
"231 Morrison Road, MIDVALE , Western Australia",116.028185,-31.8860881
"162 Russell Street, MORLEY , Western Australia",115.8947289,-31.8965761
"235 Welshpool Road, QUEENS PARK , Western Australia",115.9506951,-31.9975838
"129 Dixon Road, EAST ROCKINGHAM , Western Australia",115.7827979,-32.2769592
"481 Balfour Street, SOUTHERN RIVER , Western Australia",115.94166616064638,-32.1064402
"660 Beeliar Drive, SUCCESS , Western Australia",115.8593059,-32.1277993
